X1,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
10,11,TRUE,0.333252,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
11,12,TRUE,1.282959,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
12,13,TRUE,0.432861,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
13,14,TRUE,0.48291,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
14,15,TRUE,0.733398,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
15,16,TRUE,1.100098,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
16,17,TRUE,1.900146,YOG,JM,0,lucas,16,YOG2018,101011101010101010,1
17,18,TRUE,0.749512,YOG,JM,0,lucas,16,YOG2018,101011101010101010,0
0,1,TRUE,32.81227,ELD,AQ,0,Matheus,9,ELD2018,002112211,0
1,2,TRUE,0.61673,ELD,AQ,0,Matheus,9,ELD2018,002112211,0
2,3,TRUE,4.666626,ELD,AQ,0,Matheus,9,ELD2018,002112211,2
3,4,TRUE,0.733749,ELD,AQ,0,Matheus,9,ELD2018,002112211,1
4,5,TRUE,0.567032,ELD,AQ,0,Matheus,9,ELD2018,002112211,1
5,6,TRUE,0.633164,ELD,AQ,0,Matheus,9,ELD2018,002112211,2
6,7,TRUE,0.633255,ELD,AQ,0,Matheus,9,ELD2018,002112211,2
7,8,TRUE,0.616287,ELD,AQ,0,Matheus,9,ELD2018,002112211,1
8,9,TRUE,0.583374,ELD,AQ,0,Matheus,9,ELD2018,002112211,1
0,1,TRUE,31.86356,ELD,JG,1,Matheus,9,ELD2018,102102102,1
1,2,TRUE,1.933075,ELD,JG,1,Matheus,9,ELD2018,102102102,0
2,3,TRUE,1.716339,ELD,JG,1,Matheus,9,ELD2018,102102102,2
3,4,TRUE,0.966339,ELD,JG,1,Matheus,9,ELD2018,102102102,1
4,5,TRUE,2.44989,ELD,JG,1,Matheus,9,ELD2018,102102102,0
5,6,TRUE,1.316437,ELD,JG,1,Matheus,9,ELD2018,102102102,2
6,7,TRUE,2.716858,ELD,JG,1,Matheus,9,ELD2018,102102102,1
7,8,TRUE,9.982666,ELD,JG,1,Matheus,9,ELD2018,102102102,0
8,9,TRUE,2.883301,ELD,JG,1,Matheus,9,ELD2018,102102102,2
0,1,FALSE,51.04654,ELD,JG,2,Matheus,9,ELD2018,1201201201,0
1,2,TRUE,9.016663,ELD,JG,2,Matheus,9,ELD2018,1201201201,2
2,3,TRUE,5.366333,ELD,JG,2,Matheus,9,ELD2018,1201201201,0
3,4,TRUE,5.833099,ELD,JG,2,Matheus,9,ELD2018,1201201201,1
4,5,TRUE,2.633331,ELD,JG,2,Matheus,9,ELD2018,1201201201,2
5,6,TRUE,4.400085,ELD,JG,2,Matheus,9,ELD2018,1201201201,0
6,7,TRUE,4.583038,ELD,JG,2,Matheus,9,ELD2018,1201201201,1
7,8,TRUE,7.566254,ELD,JG,2,Matheus,9,ELD2018,1201201201,2
8,9,TRUE,2.349915,ELD,JG,2,Matheus,9,ELD2018,1201201201,0
9,10,TRUE,0.583313,ELD,JG,2,Matheus,9,ELD2018,1201201201,1
0,1,FALSE,9.44873,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
1,2,TRUE,4.499573,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
2,3,FALSE,1.049805,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
3,4,FALSE,1.933044,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
4,5,TRUE,1.749756,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
5,6,TRUE,2.832764,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
6,7,TRUE,1.182922,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
7,8,TRUE,0.749878,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
8,9,TRUE,1.050049,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
